department,category,budget,actual
Accounting and Fiscal Services,Attorney Fees,20847.0,0.0
Accounting and Fiscal Services,Auto Allowances-Other (Non-Taxable),300.0,214.0
Accounting and Fiscal Services,Fees For Memberships & Registration,9710.0,8143.0
Accounting and Fiscal Services,Fica Tax,47060.0,19145.0
Accounting and Fiscal Services,Health Fund,60040.0,42851.0
Accounting and Fiscal Services,Meals-Dinner,150.0,0.0
Accounting and Fiscal Services,Misc Salary Adjustment,471135.0,0.0
Accounting and Fiscal Services,Non-Holiday Overtime Pay,58493.0,114855.0
Accounting and Fiscal Services,Office Supplies,18500.0,11404.0
Accounting and Fiscal Services,Other Fixed Charges,35341.0,3358.0
Accounting and Fiscal Services,Other Professional Services,7535.0,0.0
Accounting and Fiscal Services,Other Services - Not Classified,597420.0,1022.0
Accounting and Fiscal Services,Parts & Accessories-Equipment (Computer Equipment),4000.0,3191.0
Accounting and Fiscal Services,Parts & Accessories-Equipment (Furniture & Fixtures),1880.0,53986.0
Accounting and Fiscal Services,Parts/Acces/Equip (Other),3000.0,23.0
Accounting and Fiscal Services,Personal Svcs-Contract Positions,342492.0,276618.0
Accounting and Fiscal Services,Postage,1000.0,1125.0
Accounting and Fiscal Services,Printing And Binding,1400.0,1228.0
Accounting and Fiscal Services,Regular Pay,5766790.0,4746563.0
Accounting and Fiscal Services,Rentals-Office Equipment,7400.0,9000.0
Accounting and Fiscal Services,Repairs & Maintenance-Equipment (Office Furniture & Equip),750.0,251.0
Accounting and Fiscal Services,Retirement System Contribution,71641.0,48967.0
Accounting and Fiscal Services,"Service, Merit Or Employee Suggestion Program Award",200.0,750.0
Accounting and Fiscal Services,Subscriptions,2800.0,3064.0
Accounting and Fiscal Services,Temporary Assignment Pay,10035.0,13684.0
Accounting and Fiscal Services,Transportation Of Things (Services),2400.0,424.0
Accounting and Fiscal Services,Travel Expense-Out-of-State,9000.0,4527.0
Accounting and Fiscal Services,Unemployment Compensation,204.0,20.0
Accounting and Fiscal Services,Workers' Compensation Premium,18357.0,0.0
Administration,Advertising & Publication of Notices,1700.0,2153.0
Administration,Computer Supplies,2000.0,1584.0
Administration,Fees For Memberships & Registration,38927.0,15288.0
Administration,Fica Tax,17052.0,13466.0
Administration,Health Fund,44820.0,35963.0
Administration,Office Supplies,6800.0,4789.0
Administration,Other Communication Services,2763.0,1937.0
Administration,Other Contractual Services,6238.0,0.0
Administration,Other Fixed Charges,19648.0,268058.0
Administration,Other Food,50.0,158.0
Administration,Other Professional Services,35000.0,26300.0
Administration,Other Services - Not Classified,151000.0,7555.0
Administration,Parking Fees,5000.0,761.0
Administration,Parts & Accessories-Equipment (Computer Equipment),4352.0,3856.0
Administration,Parts & Accessories-Equipment (Furniture & Fixtures),1908.0,0.0
Administration,Postage,700.0,332.0
Administration,Printing And Binding,200.0,124.0
Administration,"Refunds, Awards & Indemnities",450000.0,50000.0
Administration,Regular Pay,1344024.0,1005601.0
Administration,Rent Of Offices,75000.0,22988.0
Administration,Rentals-Office Equipment,10300.0,8914.0
Administration,Retirement System Contribution,53496.0,42246.0
Administration,"Service, Merit Or Employee Suggestion Program Award",600.0,440.0
Administration,Subscriptions,50963.0,14639.0
Administration,Supplies Not Classified,300.0,66.0
Administration,Telephone,1500.0,1386.0
Administration,Temporary Assignment Pay,2000.0,592.0
Administration,Travel Expense-Out-of-State,35634.0,8857.0
Administration,Unemployment Compensation,84.0,18.0
Administration,Workers' Compensation Premium,8640.0,0.0
Budgetary Administration,Computer Software Maintenance Agreement,4004.0,0.0
Budgetary Administration,Computer Supplies,2320.0,383.0
Budgetary Administration,"Educational, Recreational & Scientific Supplies",30.0,0.0
Budgetary Administration,Fees For Memberships & Registration,1500.0,1595.0
Budgetary Administration,Misc Salary Adjustment,7920.0,0.0
Budgetary Administration,Non-Holiday Overtime Pay,11175.0,1393.0
Budgetary Administration,Office Supplies,4000.0,1407.0
Budgetary Administration,Other Services - Not Classified,100.0,0.0
Budgetary Administration,Parts & Accessories-Equipment (Computer Equipment),20683.0,509.0
Budgetary Administration,Parts & Accessories-Equipment (Furniture & Fixtures),1000.0,0.0
Budgetary Administration,Parts & Accessories-Equipment (Other Equipment),2000.0,423.0
Budgetary Administration,Postage,100.0,0.0
Budgetary Administration,Printing And Binding,50.0,11.0
Budgetary Administration,Regular Pay,1144848.0,959055.0
Budgetary Administration,Rentals-Office Equipment,4000.0,421.0
Budgetary Administration,Repairs & Maintenance-Equipment (Office Furniture & Equip),235.0,0.0
Budgetary Administration,Safety Supplies,55.0,0.0
Budgetary Administration,"Service, Merit Or Employee Suggestion Program Award",200.0,50.0
Budgetary Administration,Subscriptions,200.0,432.0
Budgetary Administration,Temporary Assignment Pay,5000.0,2667.0
Budgetary Administration,Travel Expense-Out-of-State,2017.0,2274.0
Fiscal/CIP Administration,Advertising & Publication of Notices,20999.0,4524.0
Fiscal/CIP Administration,Auto Allowances-Other,25.0,0.0
Fiscal/CIP Administration,Auto Allowances-Other (Non-Taxable),750.0,0.0
Fiscal/CIP Administration,CE Adj To Source Of Funds,5224.0,0.0
Fiscal/CIP Administration,Computer Supplies,2876.0,1063.0
Fiscal/CIP Administration,Fees For Memberships & Registration,31400.0,0.0
Fiscal/CIP Administration,Fica Tax,67293.0,45535.0
Fiscal/CIP Administration,Health Fund,153868.0,112931.0
Fiscal/CIP Administration,Non-Holiday Overtime Pay,5900.0,5045.0
Fiscal/CIP Administration,Office Supplies,4500.0,2015.0
Fiscal/CIP Administration,Other Services - Not Classified,850.0,0.0
Fiscal/CIP Administration,Parking Fees,50.0,86.0
Fiscal/CIP Administration,Parts & Accessories-Equipment (Computer Equipment),2124.0,0.0
Fiscal/CIP Administration,Parts & Accessories-Equipment (Furniture & Fixtures),1050.0,288.0
Fiscal/CIP Administration,Personal Svcs-Contract Positions,63096.0,0.0
Fiscal/CIP Administration,Postage,450.0,0.0
Fiscal/CIP Administration,Printing And Binding,15.0,11.0
Fiscal/CIP Administration,Regular Pay,1520328.0,1526588.0
Fiscal/CIP Administration,Rentals-Office Equipment,9526.0,5800.0
Fiscal/CIP Administration,Repairs & Maintenance-Equipment (Office Furniture & Equip),70.0,0.0
Fiscal/CIP Administration,Retirement System Contribution,183625.0,132665.0
Fiscal/CIP Administration,"Service, Merit Or Employee Suggestion Program Award",100.0,425.0
Fiscal/CIP Administration,Subscriptions,326.0,357.0
Fiscal/CIP Administration,Travel Expense-Out-of-State,3000.0,0.0
Fiscal/CIP Administration,Unemployment Compensation,324.0,59.0
Fiscal/CIP Administration,Workers' Compensation Premium,32136.0,0.0
Internal Control,Consultant Services,15480.0,14466.0
Internal Control,"Educational, Recreational & Scientific Supplies",5500.0,2394.0
Internal Control,Fees For Memberships & Registration,6815.0,1608.0
Internal Control,Office Supplies,430.0,2283.0
Internal Control,Regular Pay,549064.0,482297.0
Internal Control,Rentals-Office Equipment,3600.0,3132.0
Liquor Commission,Advertising & Publication of Notices,4000.0,4312.0
Liquor Commission,Computer Software,50000.0,125000.0
Liquor Commission,Computer Software Maintenance Agreement,25800.0,3536.0
Liquor Commission,Computer Supplies,15000.0,11379.0
Liquor Commission,Consultant Services,15000.0,151.0
Liquor Commission,"Educational, Recreational & Scientific Supplies",3500.0,876.0
Liquor Commission,Fees For Memberships & Registration,32440.0,15837.0
Liquor Commission,Holiday Overtime Pay,4000.0,260.0
Liquor Commission,Maps And Signs,2000.0,675.0
Liquor Commission,Meals-Breakfast,1000.0,542.0
Liquor Commission,Meals-Dinner,8000.0,6288.0
Liquor Commission,Meals-Lunch,500.0,58.0
Liquor Commission,"Motor Vehicle Plates, Emblems, Tags & Certificates",3000.0,1795.0
Liquor Commission,Night Shift Pay,9000.0,7960.0
Liquor Commission,Non-Holiday Overtime Pay,135000.0,124471.0
Liquor Commission,Office Supplies,23125.0,10058.0
Liquor Commission,Other Communication Services,7000.0,4154.0
Liquor Commission,Other Food,5500.0,5586.0
Liquor Commission,Other Professional Services,60000.0,28873.0
Liquor Commission,Other Rentals,2000.0,0.0
Liquor Commission,Other Repairs & Maintenance-Motor Vehicles,1000.0,0.0
Liquor Commission,Other Services - Not Classified,56000.0,5315.0
Liquor Commission,Parking Fees,43000.0,34477.0
Liquor Commission,Parts & Accessories-Equipment (Communication),1000.0,524.0
Liquor Commission,Parts & Accessories-Equipment (Computer Equipment),18824.0,19267.0
Liquor Commission,Parts & Accessories-Equipment (Furniture & Fixtures),50000.0,1539.0
Liquor Commission,Parts/Acces/Equip (Other),50575.0,5984.0
Liquor Commission,Passenger Vehicles,82500.0,93322.0
Liquor Commission,Personal Svcs-Contract Positions,304704.0,428683.0
Liquor Commission,Photography Supplies,1500.0,792.0
Liquor Commission,Postage,6500.0,1500.0
Liquor Commission,Printing And Binding,4000.0,2760.0
Liquor Commission,Regular Pay,3141209.0,2001944.0
Liquor Commission,Rent Of Offices,520000.0,484280.0
Liquor Commission,Rentals-Office Equipment,20000.0,15919.0
Liquor Commission,Repairs & Maintenance-Equipment (Computer),7000.0,0.0
Liquor Commission,Repairs & Maintenance-Equipment (Other Equipment),15500.0,7324.0
Liquor Commission,Safety Supplies,1000.0,1760.0
Liquor Commission,"Service, Merit Or Employee Suggestion Program Award",500.0,52.0
Liquor Commission,Subscriptions,8000.0,2020.0
Liquor Commission,Supplies Not Classified,5000.0,11477.0
Liquor Commission,Telephone,20000.0,12463.0
Liquor Commission,Temporary Assignment Pay,35000.0,28544.0
Liquor Commission,Travel Expense-Intrastate,53700.0,27308.0
Liquor Commission,Travel Expense-Out-of-State,87750.0,24449.0
Liquor Commission,Unleaded Gas,10620.0,5919.0
Purchasing and General Services,Computer Software Maintenance Agreement,10200.0,0.0
Purchasing and General Services,Consultant Services,300000.0,0.0
Purchasing and General Services,Fees For Memberships & Registration,2700.0,8164.0
Purchasing and General Services,Misc Salary Adjustment,454526.0,0.0
Purchasing and General Services,Non-Holiday Overtime Pay,18018.0,26932.0
Purchasing and General Services,Office Supplies,4000.0,3829.0
Purchasing and General Services,Other Professional Services,19500.0,502170.0
Purchasing and General Services,Other Services - Not Classified,360680.0,0.0
Purchasing and General Services,Parts & Accessories-Equipment (Computer Equipment),44600.0,224.0
Purchasing and General Services,Parts & Accessories-Equipment (Furniture & Fixtures),1000.0,745.0
Purchasing and General Services,Postage,500.0,499.0
Purchasing and General Services,Printing And Binding,100.0,192.0
Purchasing and General Services,Regular Pay,3275689.0,2189063.0
Purchasing and General Services,Rentals-Computer Software,2400.0,0.0
Purchasing and General Services,Rentals-Office Equipment,18000.0,16044.0
Purchasing and General Services,Subscriptions,100.0,0.0
Purchasing and General Services,Telephone,1500.0,1440.0
Real Property,Advertising & Publication of Notices,7000.0,4046.0
Real Property,Auto Allowances-Other (Non-Taxable),1500.0,1461.0
Real Property,Cleaning and Toilet Supplies,100.0,0.0
Real Property,Computer Software Maintenance Agreement,711200.0,623641.0
Real Property,Computer Supplies,2500.0,1166.0
Real Property,Consultant Services,10000.0,6105.0
Real Property,"Educational, Recreational & Scientific Supplies",36900.0,21864.0
Real Property,Fees For Memberships & Registration,13000.0,4942.0
Real Property,Holiday Overtime Pay,1500.0,0.0
Real Property,Misc Salary Adjustment,24800.0,0.0
Real Property,Non-Holiday Overtime Pay,57500.0,84003.0
Real Property,Office Supplies,15500.0,6787.0
Real Property,Other Communication Services,1600.0,1703.0
Real Property,Other Food,7000.0,31.0
Real Property,Other Professional Services,5000.0,5916.0
Real Property,Other Rentals,32000.0,33908.0
Real Property,Parking Fees,6250.0,4691.0
Real Property,Parts & Accessories-Equipment (Computer Equipment),2500.0,28183.0
Real Property,Parts/Acces-Equip (Audio Visual),300.0,419.0
Real Property,Postage,150000.0,145002.0
Real Property,Printing And Binding,66600.0,44303.0
Real Property,Regular Pay,6482224.0,5302774.0
Real Property,Repairs & Maintenance-Equipment (Computer),2500.0,316.0
Real Property,"Service, Merit Or Employee Suggestion Program Award",200.0,58.0
Real Property,Subscriptions,30000.0,7752.0
Real Property,Supplies Not Classified,1500.0,2033.0
Real Property,Temporary Assignment Pay,20000.0,20878.0
Real Property,Travel Expense-Intrastate,2500.0,1563.0
Real Property,Travel Expense-Out-of-State,23000.0,11312.0
Treasury,Advertising & Publication of Notices,40000.0,19568.0
Treasury,Computer Software Maintenance Agreement,528907.0,173483.0
Treasury,Computer Supplies,500.0,0.0
Treasury,Consultant Services,250000.0,0.0
Treasury,Fees For Memberships & Registration,2000.0,4233.0
Treasury,Fees For Paying Agents,4000.0,3250.0
Treasury,Management Fees,48000.0,40000.0
Treasury,Non-Holiday Overtime Pay,5000.0,99269.0
Treasury,Office Supplies,26000.0,19010.0
Treasury,Other Professional Services,50000.0,22800.0
Treasury,Other Rentals,6000.0,0.0
Treasury,Other Services - Not Classified,252282.0,196558.0
Treasury,Parts & Accessories-Equipment (Computer Equipment),17000.0,3809.0
Treasury,Parts & Accessories-Equipment (Furniture & Fixtures),28000.0,0.0
Treasury,Postage,220000.0,239502.0
Treasury,Printing And Binding,15000.0,19439.0
Treasury,Regular Pay,3207085.0,2292323.0
Treasury,Rentals-Computer Software,625000.0,593298.0
Treasury,Rentals-Office Equipment,15300.0,11657.0
Treasury,Repairs & Maintenance-Equipment (Office Furniture & Equip),5000.0,2571.0
Treasury,Subscriptions,1500.0,4004.0
Treasury,Temporary Assignment Pay,10000.0,24958.0
Treasury,Transportation Of Things (Services),500.0,0.0
Treasury,Travel Expense-Out-of-State,8000.0,5635.0
